SCENARIO 0,,,PRODUCTION,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,EXPORTS,STOCKS,,SCENARIO 2,,,PRODUCTION,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,EXPORTS,STOCKS
VOLUME 2010,,,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,,cGZ,cHZ,cRU,,,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,HOUSEHOLDS,GOVERNMENT,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,,,,VOLUME 2010,,,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,,cGZ,cHZ,cRU,,,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,HOUSEHOLDS,GOVERNMENT,sAZ,sDE,sC1,sC2,sC3,sC4,sC5,sFZ,sGZ,sHZ,sIZ,sJZ,sKZ,sLZ,sMN,sOQ,sRU,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
TOTAL,cAZ,1,71597.27803,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49427213,153.402466,8.19377639,9879.563527,1465.666858,2513.038519,15662.32885,-653.1965249,0,15728.45281,305.7100622,32816.67549,0,1.239901851,0,3577.86134,1773.589809,0,5.78032487,1950.151706,0,0,0,2.115815443,538.3063448000001,134.1895981,30952.21269,0,327.6187886,6.347887126,682.8832989,0,0.0263088288,0,75.69789766,36.82753685,0,0.1265479297,41.10652328,0,0,0,0.0455315897,11.28022632,2.850322315,12090.36918,-420.6961696,,TOTAL,cAZ,1,71597.27803,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49427213,153.402466,8.19377639,9879.563527,1465.666858,2513.038519,15662.32885,-653.1965249,0,15728.45281,305.7100622,32816.67549,0,1.239901851,0,3577.86134,1773.589809,0,5.78032487,1950.151706,0,0,0,2.115815443,538.3063448000001,134.1895981,30952.21269,0,327.6187886,6.347887126,682.8832989,0,0.0263088288,0,75.69789766,36.82753685,0,0.1265479297,41.10652328,0,0,0,0.0455315897,11.28022632,2.850322315,12090.36918,-420.6961696
COMMODITIES,cDE,2,34.38078846,82787.88602,0,498.3648047,0,0,83.26159293,4.065907655,0,0,0,0,0,0,0.9383750108,5583.138091,14665.8593,4964.733028,340.7199727,584.1998886,3640.983097,9017.778707,0,1554.361511,23695.39507,3264.266982,1981.074168,1535.058949,1052.305976,17918.15652,3430.995234,4044.461692,1363.804825,1405.761185,878.7787272,595.7731329,1766.39616,3298.429843,6810.653726,5914.477722,39131.65997,6.860951289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728.23733,-170.600099,,COMMODITIES,cDE,2,34.38078846,82787.88602,0,498.3648047,0,0,83.26159293,4.065907655,0,0,0,0,0,0,0.9383750108,5583.138091,14665.8593,4964.733028,340.7199727,584.1998886,3640.983097,9017.778707,0,1554.361511,23695.39507,3264.266982,1981.074168,1535.058949,1052.305976,17918.15652,3430.995234,4044.461692,1363.804825,1405.761185,878.7787272,595.7731329,1766.39616,3298.429843,6810.653726,5914.477722,39131.65997,6.860951289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728.23733,-170.600099
,cC1,3,9017.197410000002,0,117579.5655,0,0,1.026793188,9700.431454,0,0,0,0,0,0,0,2.985971685,34.73907448,0,34792.4232,5366.265437,9201.021137,57344.69158,22221.26289,0,7405.58445,78.70808188,28179.8723,97.24465185,608.8329041,1156.542245,10125.574,649.6945483,1901.483569,284.6810249,17229.25535,143.4454746,58.89253617,100.30258,1624.916712,5292.667366,971.1691222,150775.7487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38883.57764000001,-306.5827597,,,cC1,3,9017.197410000002,0,117579.5655,0,0,1.026793188,9700.431454,0,0,0,0,0,0,0,2.985971685,34.73907448,0,34792.4232,5366.265437,9201.021137,57344.69158,22221.26289,0,7405.58445,78.70808188,28179.8723,97.24465185,608.8329041,1156.542245,10125.574,649.6945483,1901.483569,284.6810249,17229.25535,143.4454746,58.89253617,100.30258,1624.916712,5292.667366,971.1691222,150775.7487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38883.57764000001,-306.5827597
,cC2,4,0,47.01124288,0,61933.28687,0,0,1337.653357,0,0,0,0,0,0,0,0,1.761971148,0,46233.53854,645.9508059,1107.54995,6902.724096,27512.31494,0,3563.24981,9698.799681,974.7336635,40893.10931,585.7023617,511.0318478,9901.889255,3010.829502,8134.741588,9221.905582,841.5067632,594.4792646,316.7223419,258.804276,3345.893996,1425.843029,1151.544989,37634.01328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13848.50669,-191.5154502,,,cC2,4,0,47.01124288,0,61933.28687,0,0,1337.653357,0,0,0,0,0,0,0,0,1.761971148,0,46233.53854,645.9508059,1107.54995,6902.724096,27512.31494,0,3563.24981,9698.799681,974.7336635,40893.10931,585.7023617,511.0318478,9901.889255,3010.829502,8134.741588,9221.905582,841.5067632,594.4792646,316.7223419,258.804276,3345.893996,1425.843029,1151.544989,37634.01328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13848.50669,-191.5154502
,cC3,5,0,0,0,0,128603.3916,711.099688,62061.87567,0,0,0,0,0,0,0,57.67851336,193.8565111,0,101051.0658,4372.954557,7497.886152,46730.0273,9582.442514,0,3584.044304,3306.682607,2531.764886,1324.533951,48500.42114,25444.555,33514.36611,18979.05236,4602.378934,1948.176843,687.4144886,3432.482367,410.1463559,300.6716908,9397.596249,7708.385369,1825.514647,47333.98713,5931.53988,1142.536474,1050.354264,741.3171951,562.5754469,17466.49079,8890.944428999999,9701.220312,5992.898346,1679.625643,647.5508087,230.1104843,1442.091549,179.4461963,112.3934951,3887.173472,3033.986554,715.2227083,83234.09148,-611.4656769,,,cC3,5,0,0,0,0,128603.3916,711.099688,62061.87567,0,0,0,0,0,0,0,57.67851336,193.8565111,0,101051.0658,4372.954557,7497.886152,46730.0273,9582.442514,0,3584.044304,3306.682607,2531.764886,1324.533951,48500.42114,25444.555,33514.36611,18979.05236,4602.378934,1948.176843,687.4144886,3432.482367,410.1463559,300.6716908,9397.596249,7708.385369,1825.514647,47333.98713,5931.53988,1142.536474,1050.354264,741.3171951,562.5754469,17466.49079,8890.944428999999,9701.220312,5992.898346,1679.625643,647.5508087,230.1104843,1442.091549,179.4461963,112.3934951,3887.173472,3033.986554,715.2227083,83234.09148,-611.4656769
,cC4,6,0,0,0,0,0,148689.606,180.3369037,0,0,0,0,0,0,0,4.822707174,0,0,63155.92878,1626.320802,2788.496441,17379.10021,10546.36917,0,202.6498889,99.28269409000002,233.0360908,105.0958999,426.2130364,54963.79743,511.0129594,80.40111225,5408.629151,2403.488676,26.7551105,123.5468374,6.262198656,34.35829173,1870.552467,3681.430675,372.4552474,66713.88907999999,183.4788387,63.98277245,30.88933128,73.20970509,41.45337811,134.9766465,20697.97665,157.6340854,25.99099807,1696.330568,932.5564093,8.497954622,39.54497577,1.959790154,10.7525971,760.6008087,1643.509976,116.9458869,80730.70715,-242.874404,,,cC4,6,0,0,0,0,0,148689.606,180.3369037,0,0,0,0,0,0,0,4.822707174,0,0,63155.92878,1626.320802,2788.496441,17379.10021,10546.36917,0,202.6498889,99.28269409000002,233.0360908,105.0958999,426.2130364,54963.79743,511.0129594,80.40111225,5408.629151,2403.488676,26.7551105,123.5468374,6.262198656,34.35829173,1870.552467,3681.430675,372.4552474,66713.88907999999,183.4788387,63.98277245,30.88933128,73.20970509,41.45337811,134.9766465,20697.97665,157.6340854,25.99099807,1696.330568,932.5564093,8.497954622,39.54497577,1.959790154,10.7525971,760.6008087,1643.509976,116.9458869,80730.70715,-242.874404
,cC5,7,0,7.594804813,0,4703.763253,0,0,283201.7515,17.28975957,0,0,0,0,0,0,116.6125018,617.8928161,664.3471996,148806.4729,8516.058948,14601.67025,91003.84235000002,24918.66938,0,9465.747438,2614.953261,7482.003786,4458.729862,19021.81083,20371.31516,130676.0075,30259.38728,10829.29563,3845.934932,1645.587086,1637.431014,2898.14157,799.3271453,14094.30244,11164.60846,5964.408693,138895.2717,30491.14016,120.0396528,34.55770146,102.5757367,54.26472142,258.5744197,277.5814813,1733.394877,425.234201,148.7908126,50.03613651,22.61964559,23.07253695,42.06605819,11.25776038,200.6656565,149.0953359,83.89557787,127944.6821,-1121.84277,,,cC5,7,0,7.594804813,0,4703.763253,0,0,283201.7515,17.28975957,0,0,0,0,0,0,116.6125018,617.8928161,664.3471996,148806.4729,8516.058948,14601.67025,91003.84235000002,24918.66938,0,9465.747438,2614.953261,7482.003786,4458.729862,19021.81083,20371.31516,130676.0075,30259.38728,10829.29563,3845.934932,1645.587086,1637.431014,2898.14157,799.3271453,14094.30244,11164.60846,5964.408693,138895.2717,30491.14016,120.0396528,34.55770146,102.5757367,54.26472142,258.5744197,277.5814813,1733.394877,425.234201,148.7908126,50.03613651,22.61964559,23.07253695,42.06605819,11.25776038,200.6656565,149.0953359,83.89557787,127944.6821,-1121.84277
,cFZ,8,0.893976096,118.3293801,0,0,0,0,0,220109.3662,0,0,0,0,0,0,75.97746844,661.990108,181.9272033,0,0,0,0,19535.25636,0,278.1769291,3617.872634,205.6973078,401.7048499,374.2496635,283.5671469,1950.335005,31942.48288,867.2579727,648.0384168,143.3017223,1064.673232,976.9437561,3796.300294,2600.91131,5097.938841,1896.821432,12060.86009,0,855.0801406,11120.87566,632.2870967,1234.789099,1150.395383,871.6489776,5995.079232,98187.08849,2665.839585,1991.986835,440.4910835,3272.668729,3002.999591,11669.33937,7994.86721,15670.40903,5830.585384,0,-109.823665,,,cFZ,8,0.893976096,118.3293801,0,0,0,0,0,220109.3662,0,0,0,0,0,0,75.97746844,661.990108,181.9272033,0,0,0,0,19535.25636,0,278.1769291,3617.872634,205.6973078,401.7048499,374.2496635,283.5671469,1950.335005,31942.48288,867.2579727,648.0384168,143.3017223,1064.673232,976.9437561,3796.300294,2600.91131,5097.938841,1896.821432,12060.86009,0,855.0801406,11120.87566,632.2870967,1234.789099,1150.395383,871.6489776,5995.079232,98187.08849,2665.839585,1991.986835,440.4910835,3272.668729,3002.999591,11669.33937,7994.86721,15670.40903,5830.585384,0,-109.823665
,cGZ,9,0,0,0,0,0,0,0,0,42203.85047,0,0,0,0,0,0,0,0,0,0,0,0,985.9557319,22333.93738,212.699983,27.34022807,60.22002142,28.48025486,30.013294,111.4888363,293.897972,60.51028724,805.2776265,819.2226002,44.47025027,5.918243108,62.55737495,29.71674615,169.0120532,298.5695087,216.9599501,17580.01853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5049363908,,,cGZ,9,0,0,0,0,0,0,0,0,42203.85047,0,0,0,0,0,0,0,0,0,0,0,0,985.9557319,22333.93738,212.699983,27.34022807,60.22002142,28.48025486,30.013294,111.4888363,293.897972,60.51028724,805.2776265,819.2226002,44.47025027,5.918243108,62.55737495,29.71674615,169.0120532,298.5695087,216.9599501,17580.01853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5049363908
