SCENARIO 0,,,PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPORTS,STOCKS,,SCENARIO 2,,,PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPORTS,MARGINS PAID,,,,,TAXES LESS SUBSIDIES,MARGINS SUPPLIED,INTERMEDIARY CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FINAL CONSUMPTION,,INVESTMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXPORTS,STOCKS
VOLUME 2015,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,crai,croa,cwat,cair,cpri,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,HOUSEHOLDS,GOVERNMENT,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,,,VOLUME 2015,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,crai,croa,cwat,cair,cpri,,,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,HOUSEHOLDS,GOVERNMENT,sagr,sfor,sfoo,sveh,sgla,spap,sche,spla,smet,sigo,scgo,scon,srai,sroa,swat,sair,spri,spub,smin,soil,sbfu,sgas,sbga,senu,seoi,sega,seco,sewi,seso,sehy,sech,seot,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
TOTAL,cagr,1,69947.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.99994134000001,7.000050897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12973,113.6629527,1307.623424,4.381768537,10.12928311,20543.20257,750.5000001,0,14897.46876,171.277644,37977.9168,0,0,0,57.22903105,218.9557568,0,0,222.3243878,130.9221102,0,0,0,0,1676.675758,36.25116425,0,0,3.692018938,0,0.1156849826,9.545373431,0.190018075,0.2724157879,0.1994912997,0.4936168758,0.1794486452,1.381430416,1.386541246,0.0225483153,31638,0,357.8959846,4.127592827,930.893117,0,0,0,1.475861021,5.241066544,0,0,5.401360572,4.944701243,0,0,0,0,53.48151999,0.9116338143,0,0,0.0950918133,0,0.00436907458,0.3605001051,0.00718471648,0.0104406,0.00948534423,0.018666992,0.00678616455,0.0522409214,0.0615433263,0.000853357982,15809,1507,,TOTAL,cagr,1,69947.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.99994134000001,7.000050897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12973,113.6629527,1307.623424,4.381768537,10.12928311,20543.20257,750.5000001,0,14897.46876,171.277644,37977.9168,0,0,0,57.22903105,218.9557568,0,0,222.3243878,130.9221102,0,0,0,0,1676.675758,36.25116425,0,0,3.692018938,0,0.1156849826,9.545373431,0.190018075,0.2724157879,0.1994912997,0.4936168758,0.1794486452,1.381430416,1.386541246,0.0225483153,31638,0,357.8959846,4.127592827,930.893117,0,0,0,1.475861021,5.241066544,0,0,5.401360572,4.944701243,0,0,0,0,53.48151999,0.9116338143,0,0,0.0950918133,0,0.00436907458,0.3605001051,0.00718471648,0.0104406,0.00948534423,0.018666992,0.00678616455,0.0522409214,0.0615433263,0.000853357982,15809,1507
COMMODITIES,cfor,2,0,690.268854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99991612,22.0000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.7766463,1.030828899,11.8590621,0.0397390137,0.0918642135,186.3098432,-2.57568284,0,0,399.4892707,0,0,0,0,0,0,0,0.067044591,289.3863388,35.58361916,0,0,0,0,2.184832754,19.30597203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.78437654,250.9996272,,COMMODITIES,cfor,2,0,690.268854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99991612,22.0000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.7766463,1.030828899,11.8590621,0.0397390137,0.0918642135,186.3098432,-2.57568284,0,0,399.4892707,0,0,0,0,0,0,0,0.067044591,289.3863388,35.58361916,0,0,0,0,2.184832754,19.30597203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.78437654,250.9996272
,cfoo,3,11790,0,157638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38710,400.2030727,4604.093944,15.42804573,35.664833,72331.86011,31837.2,0,8402.670106,1.012967722,33560.69334,141.6424124,50.12500342,138.1714993,2759.740877,85.98890031,202.6848751,175.4612345,601.1060214,481.7101706,8.040260097999999,80.27012053,130.652373,350.532265,39316.15678,7679.740049,34.09435411,86.78317228,152.854233,3.236466738,0.2886383795,23.81606547,0.4738937465,0.6756928716,0.4444894855,1.230885022,0.4474739355,3.444750613,3.214418638,0.056220672,175065,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45286,2206.99,,,cfoo,3,11790,0,157638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38710,400.2030727,4604.093944,15.42804573,35.664833,72331.86011,31837.2,0,8402.670106,1.012967722,33560.69334,141.6424124,50.12500342,138.1714993,2759.740877,85.98890031,202.6848751,175.4612345,601.1060214,481.7101706,8.040260097999999,80.27012053,130.652373,350.532265,39316.15678,7679.740049,34.09435411,86.78317228,152.854233,3.236466738,0.2886383795,23.81606547,0.4738937465,0.6756928716,0.4444894855,1.230885022,0.4474739355,3.444750613,3.214418638,0.056220672,175065,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45286,2206.99
,cveh,4,0,0,0,125598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81999,215.0334062,2473.82909,8.289654557,19.16309755,38864.68475,14572.58,0,227.558131,9.702692515000002,249.3335384,36899.30619,49.12928309,15.65338452,64.73944971,9.506266831,106.562959,899.4612611,523.423555,174.2152583,54.673272,545.8318611,194.487768,227.3829757,7825.721359,3908.466828,6.015970492,43.90753134,4.098814801,0.57068454,0.2410716009,19.89124607,0.3960887008,0.5699217374,0.4456333361,1.029027339,0.3740908191,2.879818153,3.027058914,0.0470090668,62148,133,141.2502725,5.948620734,152.9162779,22649.54404,30.29877338,9.566259021,39.79606901,5.851718092,66.04545726000001,556.7825093,321.4325983,106.9380764,34.22175202,341.6536438,123.5656107,139.3249497,4821.376247,2420.567383,3.680505385,27.20780805,2.517760181,0.3489672216,0.1491586583,12.30734588,0.2452836754,0.3564383848,0.3238262918,0.6372844938,0.2316772538,1.783486549,2.101067357,0.0291333392,111217,6164.93,,,cveh,4,0,0,0,125598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81999,215.0334062,2473.82909,8.289654557,19.16309755,38864.68475,14572.58,0,227.558131,9.702692515000002,249.3335384,36899.30619,49.12928309,15.65338452,64.73944971,9.506266831,106.562959,899.4612611,523.423555,174.2152583,54.673272,545.8318611,194.487768,227.3829757,7825.721359,3908.466828,6.015970492,43.90753134,4.098814801,0.57068454,0.2410716009,19.89124607,0.3960887008,0.5699217374,0.4456333361,1.029027339,0.3740908191,2.879818153,3.027058914,0.0470090668,62148,133,141.2502725,5.948620734,152.9162779,22649.54404,30.29877338,9.566259021,39.79606901,5.851718092,66.04545726000001,556.7825093,321.4325983,106.9380764,34.22175202,341.6536438,123.5656107,139.3249497,4821.376247,2420.567383,3.680505385,27.20780805,2.517760181,0.3489672216,0.1491586583,12.30734588,0.2452836754,0.3564383848,0.3238262918,0.6372844938,0.2316772538,1.783486549,2.101067357,0.0291333392,111217,6164.93
,cgla,5,0,0,0,0,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6979,54.29488785,624.6297977,2.093097405,4.838588807,9813.143629,794.5000001,0,403.9236727,6.073705694,824.4844582,889.9257411,3568.183301,63.66898523,657.6176405,142.1723033,633.1639039,809.7852197,703.6608182,17673.22576,12.10310334,120.8316089,12.56754871,3.460720353,3133.844857,1328.426066,272.4788539,34.92583646,30.62773288,25.86762516,1.649445918,136.098713,2.707880772,3.857063844,2.4836266,7.03323577,2.556851151,19.68320037,18.10928871,0.3212367808,3482.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5214,130.98,,,cgla,5,0,0,0,0,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6979,54.29488785,624.6297977,2.093097405,4.838588807,9813.143629,794.5000001,0,403.9236727,6.073705694,824.4844582,889.9257411,3568.183301,63.66898523,657.6176405,142.1723033,633.1639039,809.7852197,703.6608182,17673.22576,12.10310334,120.8316089,12.56754871,3.460720353,3133.844857,1328.426066,272.4788539,34.92583646,30.62773288,25.86762516,1.649445918,136.098713,2.707880772,3.857063844,2.4836266,7.03323577,2.556851151,19.68320037,18.10928871,0.3212367808,3482.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5214,130.98
,cpap,6,0,0,0,0,0,16305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9144.000001,21.14599452,243.2718586,0.8151895694,1.884464199,3821.882493,1232.43,0,186.8227952,2.0163071,1699.416665,140.9265874,193.8973431,3192.757468,1051.017356,271.4256348,88.41019704999999,315.9486048,1964.492746,418.4596212,2.838869275,28.34191631,38.95820998,2.233609244,7759.125427,1285.199708,20.83192536,32.87362581,40.0139701,1.976918402,0.1459360515,12.04144287,0.2397429318,0.3443417474,0.26086193,0.6228176472,0.2264180626,1.743008423,1.791475259,0.0284511989,5288.000001000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6410,317,,,cpap,6,0,0,0,0,0,16305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9144.000001,21.14599452,243.2718586,0.8151895694,1.884464199,3821.882493,1232.43,0,186.8227952,2.0163071,1699.416665,140.9265874,193.8973431,3192.757468,1051.017356,271.4256348,88.41019704999999,315.9486048,1964.492746,418.4596212,2.838869275,28.34191631,38.95820998,2.233609244,7759.125427,1285.199708,20.83192536,32.87362581,40.0139701,1.976918402,0.1459360515,12.04144287,0.2397429318,0.3443417474,0.26086193,0.6228176472,0.2264180626,1.743008423,1.791475259,0.0284511989,5288.000001000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6410,317
,cche,7,0,0,0,0,0,0,86971.39526999999,0,0,0,0,0,0,0,0,0,0,97.99999733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70191.97799,320.7429171,3689.952984,12.3648136,28.58359507,57970.39902,6621.590861,0,9193.574479999999,31.94366817,1701.803709,1709.702392,418.7805286,950.6201815,21688.76781,8518.027910000001,1966.697662,1520.819898,3315.788039,3465.857614,0.1283690622,1.281575468,110.7896489,190.8314362,11560.27204,8001.820199,134.3745173,2.998022267,21.7732093,0,0.00953087434,0.7864093735,0.0156679534,0.022693215,0.0197657565,0.0407115972,0.0148002207,0.1139343628,0.1295587814,0.00186006608,36822.26652,26003.27572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85230.03546,3341.621905,,,cche,7,0,0,0,0,0,0,86971.39526999999,0,0,0,0,0,0,0,0,0,0,97.99999733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70191.97799,320.7429171,3689.952984,12.3648136,28.58359507,57970.39902,6621.590861,0,9193.574479999999,31.94366817,1701.803709,1709.702392,418.7805286,950.6201815,21688.76781,8518.027910000001,1966.697662,1520.819898,3315.788039,3465.857614,0.1283690622,1.281575468,110.7896489,190.8314362,11560.27204,8001.820199,134.3745173,2.998022267,21.7732093,0,0.00953087434,0.7864093735,0.0156679534,0.022693215,0.0197657565,0.0407115972,0.0148002207,0.1139343628,0.1295587814,0.00186006608,36822.26652,26003.27572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85230.03546,3341.621905
,cpla,8,0,0,0,0,0,0,0,29076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17297,50.1318833,576.736952,1.93261132,4.467594999,9060.730959,1490.01,0,452.7326049,9.041323367,2872.619596,4435.965383,219.4936538,337.732784,1791.974805,2387.566244,1025.479416,3335.709854,2886.862213,5600.316281000001,39.79527835,397.2970713,108.2945386,107.2393912,7729.094471,561.668683,49.801151,926.8290034,95.54963566000002,4.726029644,1.93002471,159.2497676,3.169647393,4.535067412,3.197999439,8.233502534,2.993193783,23.04220881,22.5330875,0.3760902474,7709.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13677,565.96,,,cpla,8,0,0,0,0,0,0,0,29076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17297,50.1318833,576.736952,1.93261132,4.467594999,9060.730959,1490.01,0,452.7326049,9.041323367,2872.619596,4435.965383,219.4936538,337.732784,1791.974805,2387.566244,1025.479416,3335.709854,2886.862213,5600.316281000001,39.79527835,397.2970713,108.2945386,107.2393912,7729.094471,561.668683,49.801151,926.8290034,95.54963566000002,4.726029644,1.93002471,159.2497676,3.169647393,4.535067412,3.197999439,8.233502534,2.993193783,23.04220881,22.5330875,0.3760902474,7709.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13677,565.96
,cmet,9,0,0,0,0,0,0,0,0,80223.77578,0,0,0,0,0,0,0,13.14570958,7.078516489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36505,76.97679833,885.5714391,2.967497369,6.859928982,13912.62434,1281.45,0,596.1216092,39.2742363,1578.590253,9489.974638,904.0397563,425.0722965,1689.747094,542.1708906,25267.72223,11506.97937,7965.773499,19519.4523,18.75346548,187.2256514,34.14304702,52.45727105,5727.093511,3187.41678,133.8556423,797.8422004,89.87895064999999,12.7056632,2.959260484,244.1738398,4.859077279,6.936900618,4.682020401,12.6212893,4.588322776,35.32187317000001,33.53056837,0.5764912154,4929.000001000001,0,26.34074845,2.034679274,117.1215376,626.602878,45.31620301,27.1286116,97.94217846,30.2742207,1357.719603,693.968751,480.3146953,1273.668948,1.259269832,12.57194916,2.110032776,3.203213696,329.5619185,177.0255148,8.748551283,50.1304941,5.385891245,0.8294941359,0.1949450355,16.0852612,0.3205769973,0.4658522299,0.4232293899,0.832908057,0.3027938906,2.330953179,2.746019945,0.0380762331,30769,1707.91,,,cmet,9,0,0,0,0,0,0,0,0,80223.77578,0,0,0,0,0,0,0,13.14570958,7.078516489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36505,76.97679833,885.5714391,2.967497369,6.859928982,13912.62434,1281.45,0,596.1216092,39.2742363,1578.590253,9489.974638,904.0397563,425.0722965,1689.747094,542.1708906,25267.72223,11506.97937,7965.773499,19519.4523,18.75346548,187.2256514,34.14304702,52.45727105,5727.093511,3187.41678,133.8556423,797.8422004,89.87895064999999,12.7056632,2.959260484,244.1738398,4.859077279,6.936900618,4.682020401,12.6212893,4.588322776,35.32187317000001,33.53056837,0.5764912154,4929.000001000001,0,26.34074845,2.034679274,117.1215376,626.602878,45.31620301,27.1286116,97.94217846,30.2742207,1357.719603,693.968751,480.3146953,1273.668948,1.259269832,12.57194916,2.110032776,3.203213696,329.5619185,177.0255148,8.748551283,50.1304941,5.385891245,0.8294941359,0.1949450355,16.0852612,0.3205769973,0.4658522299,0.4232293899,0.832908057,0.3027938906,2.330953179,2.746019945,0.0380762331,30769,1707.91
