"","Products","shock","value"
"1","Agriculture, forestry and fishing","Households consumption",0.00617056019128796
"2","Mining and quarrying, energy, water,
 waste management and remediation","Households consumption",0.00417617819685815
"3","Manufacture of food, beverages 
 and tobacco products","Households consumption",0.00843574133129918
"4","Coking and refining","Households consumption",-0.101891408170673
"5","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing","Households consumption",-0.0577494990217685
"6","Transport equipment manufacturing","Households consumption",-0.13723877742007
"7","Manufacture of other industrial products","Households consumption",-0.064626276888081
"8","Construction","Households consumption",-0.127630136986301
"9","Trade ; repair of motor vehicles and motorcycles","Households consumption",-0.142698630136986
"10","Transport and storage","Households consumption",-0.118230852038556
"11","Accommodation and catering","Households consumption",-0.142698630136986
"12","Information and communication","Households consumption",-0.0134954937375434
"13","Financial and insurance activities","Households consumption",-0.00708219178082192
"14","Real estate activities","Households consumption",-0.00766099176276253
"15","Specialized, scientific and technical activities 
 and administrative and support service activities","Households consumption",-0.102683984279979
"16","Public administration, education,
 human health and social work","Households consumption",-0.0156710616800631
"17","Other service activities","Households consumption",-0.0748852019941811
"18","Agriculture, forestry and fishing","Investments",0.00887934382131362
"19","Mining and quarrying, energy, water,
 waste management and remediation","Investments",0
"20","Manufacture of food, beverages 
 and tobacco products","Investments",0
"21","Coking and refining","Investments",0
"22","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing","Investments",-0.0422453393895782
"23","Transport equipment manufacturing","Investments",-0.0760754998359134
"24","Manufacture of other industrial products","Investments",-0.0704215310661461
"25","Construction","Investments",-0.0807671232876712
"26","Trade ; repair of motor vehicles and motorcycles","Investments",-0.0524986301369863
"27","Transport and storage","Investments",-0.0595657534246575
"28","Accommodation and catering","Investments",0
"29","Information and communication","Investments",-0.02602040581289
"30","Financial and insurance activities","Investments",0
"31","Real estate activities","Investments",0
"32","Specialized, scientific and technical activities 
 and administrative and support service activities","Investments",-0.0293780066701293
"33","Public administration, education,
 human health and social work","Investments",0
"34","Other service activities","Investments",-0.0629331184528606
"35","Agriculture, forestry and fishing","Exports",0.0106625329245082
"36","Mining and quarrying, energy, water,
 waste management and remediation","Exports",0.00631059607280413
"37","Manufacture of food, beverages 
 and tobacco products","Exports",0.00921488590448215
"38","Coking and refining","Exports",-0.0814577428431045
"39","Manufacture of electrical, electronic and 
 computer equipment; machinery manufacturing","Exports",-0.0448395870304808
"40","Transport equipment manufacturing","Exports",-0.0862857904713988
"41","Manufacture of other industrial products","Exports",-0.0494673511227004
"42","Construction","Exports",0
"43","Trade ; repair of motor vehicles and motorcycles","Exports",-0.0644322851995919
"44","Transport and storage","Exports",-0.0704483647127331
"45","Accommodation and catering","Exports",0
"46","Information and communication","Exports",-0.0141666556908399
"47","Financial and insurance activities","Exports",-0.000756372141357449
"48","Real estate activities","Exports",0
"49","Specialized, scientific and technical activities 
 and administrative and support service activities","Exports",-0.0438513363658445
"50","Public administration, education,
 human health and social work","Exports",-0.0103666900094841
"51","Other service activities","Exports",-0.0384142970616525
