"","year","Scenario","sectors","value"
"1",2015,"ClimatePol","Agriculture, forestry and fishing",0
"2",2016,"ClimatePol","Agriculture, forestry and fishing",0
"3",2017,"ClimatePol","Agriculture, forestry and fishing",0
"4",2018,"ClimatePol","Agriculture, forestry and fishing",0
"5",2019,"ClimatePol","Agriculture, forestry and fishing",0
"6",2020,"ClimatePol","Agriculture, forestry and fishing",0.154186
"7",2021,"ClimatePol","Agriculture, forestry and fishing",0.486409
"8",2022,"ClimatePol","Agriculture, forestry and fishing",0.967899
"9",2023,"ClimatePol","Agriculture, forestry and fishing",1.554769
"10",2024,"ClimatePol","Agriculture, forestry and fishing",2.204959
"11",2025,"ClimatePol","Agriculture, forestry and fishing",2.884719
"12",2026,"ClimatePol","Agriculture, forestry and fishing",3.569837
"13",2027,"ClimatePol","Agriculture, forestry and fishing",4.244459
"14",2028,"ClimatePol","Agriculture, forestry and fishing",4.899126
"15",2029,"ClimatePol","Agriculture, forestry and fishing",5.52882
"16",2030,"ClimatePol","Agriculture, forestry and fishing",6.131385
"17",2031,"ClimatePol","Agriculture, forestry and fishing",6.706375
"18",2032,"ClimatePol","Agriculture, forestry and fishing",7.254294
"19",2033,"ClimatePol","Agriculture, forestry and fishing",7.776127
"20",2034,"ClimatePol","Agriculture, forestry and fishing",8.273072
"21",2035,"ClimatePol","Agriculture, forestry and fishing",8.746412
"22",2036,"ClimatePol","Agriculture, forestry and fishing",9.197444
"23",2037,"ClimatePol","Agriculture, forestry and fishing",9.627465
"24",2038,"ClimatePol","Agriculture, forestry and fishing",10.03777
"25",2039,"ClimatePol","Agriculture, forestry and fishing",10.42963
"26",2040,"ClimatePol","Agriculture, forestry and fishing",10.80433
"27",2015,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",0
"28",2016,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",0
"29",2017,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",0
"30",2018,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",0
"31",2019,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",0
"32",2020,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-0.11664
"33",2021,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-0.43573
"34",2022,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-0.954053
"35",2023,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-1.621664
"36",2024,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-2.378631
"37",2025,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-3.17382
"38",2026,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-3.97078
"39",2027,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-4.746989
"40",2028,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-5.490647
"41",2029,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-6.197196
"42",2030,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-6.866449
"43",2031,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-7.500518
"44",2032,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-8.102459
"45",2033,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-8.675474
"46",2034,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-9.222472
"47",2035,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-9.745886
"48",2036,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-10.24763
"49",2037,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-10.72913
"50",2038,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-11.19143
"51",2039,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-11.63523
"52",2040,"ClimatePol","Mining and quarrying, energy, water,
 waste management and remediation",-12.06101
"53",2015,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",0
"54",2016,"ClimatePol","Manufacture of food, beverages 
 and tobacco products",0
