"","year","scenario","value"
"1",2015,"Climate Pol",0
"2",2016,"Climate Pol",0
"3",2017,"Climate Pol",0
"4",2018,"Climate Pol",0
"5",2019,"Climate Pol",0
"6",2020,"Climate Pol",0.030632
"7",2021,"Climate Pol",0.089667
"8",2022,"Climate Pol",0.170337
"9",2023,"Climate Pol",0.264848
"10",2024,"Climate Pol",0.367117
"11",2025,"Climate Pol",0.47356
"12",2026,"Climate Pol",0.582677
"13",2027,"Climate Pol",0.694245
"14",2028,"Climate Pol",0.8086
"15",2029,"Climate Pol",0.926153
"16",2030,"Climate Pol",1.047142
"17",2031,"Climate Pol",1.171548
"18",2032,"Climate Pol",1.299111
"19",2033,"Climate Pol",1.42939
"20",2034,"Climate Pol",1.561834
"21",2035,"Climate Pol",1.695849
"22",2036,"Climate Pol",1.830851
"23",2037,"Climate Pol",1.966299
"24",2038,"Climate Pol",2.101719
"25",2039,"Climate Pol",2.236713
"26",2040,"Climate Pol",2.370958
"27",2015,"Covid",0
"28",2016,"Covid",0
"29",2017,"Covid",0
"30",2018,"Covid",0
"31",2019,"Covid",0
"32",2020,"Covid",-5.138353
"33",2021,"Covid",-0.909841
"34",2022,"Covid",-0.705383
"35",2023,"Covid",-0.468335
"36",2024,"Covid",-0.278519
"37",2025,"Covid",-0.138446
"38",2026,"Covid",-0.038392
"39",2027,"Covid",0.031
"40",2028,"Covid",0.07711
"41",2029,"Covid",0.10579
"42",2030,"Covid",0.121846
"43",2031,"Covid",0.129268
"44",2032,"Covid",0.131281
"45",2033,"Covid",0.13036
"46",2034,"Covid",0.128262
"47",2035,"Covid",0.126114
"48",2036,"Covid",0.12453
"49",2037,"Covid",0.123741
"50",2038,"Covid",0.123721
"51",2039,"Covid",0.124297
"52",2040,"Covid",0.125229
"53",2015,"Covid-LowOil",0
"54",2016,"Covid-LowOil",0
"55",2017,"Covid-LowOil",0
"56",2018,"Covid-LowOil",0
"57",2019,"Covid-LowOil",0
"58",2020,"Covid-LowOil",-4.861401
"59",2021,"Covid-LowOil",-0.391029
"60",2022,"Covid-LowOil",-0.042065
"61",2023,"Covid-LowOil",0.247706
"62",2024,"Covid-LowOil",0.42442
"63",2025,"Covid-LowOil",0.511958
"64",2026,"Covid-LowOil",0.539677
"65",2027,"Covid-LowOil",0.529579
"66",2028,"Covid-LowOil",0.496603
"67",2029,"Covid-LowOil",0.450927
"68",2030,"Covid-LowOil",0.399726
"69",2031,"Covid-LowOil",0.348156
"70",2032,"Covid-LowOil",0.299826
"71",2033,"Covid-LowOil",0.257069
"72",2034,"Covid-LowOil",0.221141
"73",2035,"Covid-LowOil",0.19244
"74",2036,"Covid-LowOil",0.170718
"75",2037,"Covid-LowOil",0.155304
"76",2038,"Covid-LowOil",0.145287
"77",2039,"Covid-LowOil",0.139669
"78",2040,"Covid-LowOil",0.137476
"79",2015,"Covid-LowOil-Climate Pol.",0
"80",2016,"Covid-LowOil-Climate Pol.",0
"81",2017,"Covid-LowOil-Climate Pol.",0
"82",2018,"Covid-LowOil-Climate Pol.",0
"83",2019,"Covid-LowOil-Climate Pol.",0
"84",2020,"Covid-LowOil-Climate Pol.",-4.839225
"85",2021,"Covid-LowOil-Climate Pol.",-0.309664
"86",2022,"Covid-LowOil-Climate Pol.",0.128336
"87",2023,"Covid-LowOil-Climate Pol.",0.531528
"88",2024,"Covid-LowOil-Climate Pol.",0.836939
"89",2025,"Covid-LowOil-Climate Pol.",1.059731
"90",2026,"Covid-LowOil-Climate Pol.",1.223254
"91",2027,"Covid-LowOil-Climate Pol.",1.346518
"92",2028,"Covid-LowOil-Climate Pol.",1.443732
"93",2029,"Covid-LowOil-Climate Pol.",1.525637
"94",2030,"Covid-LowOil-Climate Pol.",1.600486
"95",2031,"Covid-LowOil-Climate Pol.",1.674519
"96",2032,"Covid-LowOil-Climate Pol.",1.752187
"97",2033,"Covid-LowOil-Climate Pol.",1.836328
"98",2034,"Covid-LowOil-Climate Pol.",1.928381
"99",2035,"Covid-LowOil-Climate Pol.",2.02866
"100",2036,"Covid-LowOil-Climate Pol.",2.136649
"101",2037,"Covid-LowOil-Climate Pol.",2.251292
"102",2038,"Covid-LowOil-Climate Pol.",2.371244
"103",2039,"Covid-LowOil-Climate Pol.",2.495079
"104",2040,"Covid-LowOil-Climate Pol.",2.621435
